scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1645,0.8,0.16,baseline,True,True,False,22.37889971964941,0.18649083099707842,790.870707185691,3.9128963533282665e-15,2.7418717908632037e-14,True,3,1.7480573293159296,4.825168042899008e-13
1645,0.8,0.16,selected,True,True,True,4.7914587315591435,0.03992882276299286,790.8707071870192,2.5193135275957664e-14,7.031475411730359e-14,True,2,1.3717230247943073,4.780481566157846e-13
1671,0.6,0.18,baseline,True,True,False,10.411447085369971,0.08676205904474976,262.34732180497673,4.496167663828899e-15,4.013701934003969e-14,True,5,0.7569000127978871,6.705747068735946e-14
1671,0.6,0.18,selected,True,True,False,10.411447085370131,0.0867620590447511,262.34732180506626,3.1637703941609514e-15,1.1769546467611747e-14,True,5,0.13282683893579605,6.838973831690964e-14
1672,0.62,0.18,baseline,True,True,False,11.19129824567148,0.093260818713929,320.28954429570007,7.41548004954088e-15,1.1471647204357591e-13,True,5,0.8359801255149031,2.353672812205332e-13
1672,0.62,0.18,selected,True,True,False,11.19129824567148,0.093260818713929,320.28954429570007,7.41548004954088e-15,1.1471647204357591e-13,True,5,0.8359801255149031,2.353672812205332e-13
1673,0.64,0.18,baseline,True,True,False,12.220610178959745,0.10183841815799788,360.06215946812824,2.3557928023801794e-15,1.8681690964036094e-14,True,5,0.797681822400536,1.9406698470447736e-13
1673,0.64,0.18,selected,True,True,False,12.220610178959745,0.10183841815799788,360.06215946812824,2.3557928023801794e-15,1.8681690964036094e-14,True,5,0.797681822400536,1.9406698470447736e-13
1674,0.66,0.18,baseline,True,True,False,13.608069780692844,0.1134005815057737,396.29825219131976,7.591137245500282e-15,6.583647547591336e-14,True,5,0.722817935112003,8.14071032806396e-14
1674,0.66,0.18,selected,True,True,False,13.608069780692631,0.11340058150577192,396.29825219128776,1.0153705049141958e-14,1.082945257649131e-13,True,5,0.11545529967997137,4.2366110619695974e-13
1675,0.68,0.18,baseline,True,True,False,15.666833631106964,0.13055694692589137,425.7782197098379,3.4866129422366675e-15,1.5305120093719034e-14,True,5,0.642149310079402,4.1300296516055823e-14
1675,0.68,0.18,selected,True,True,False,15.666833631106858,0.13055694692589048,425.7782197098699,3.0496103207543623e-15,2.2590430987657895e-14,True,5,0.08034374985044224,4.3520742565306136e-14
1676,0.7000000000000001,0.18,baseline,True,True,False,18.805302232939276,0.15671085194116063,417.59616985974264,2.5658524746940005e-15,1.474601810647032e-14,True,5,0.5582097112824531,6.195044477408373e-14
1676,0.7000000000000001,0.18,selected,True,True,False,18.805302232939276,0.15671085194116063,417.5961698597778,3.292166969494957e-15,2.2030341233802696e-14,True,5,0.09409923171402212,1.2168044349891716e-13
1677,0.72,0.18,baseline,True,True,False,24.354941325976682,0.20295784438313902,379.2144964616806,5.104555220251636e-15,4.331006460619109e-14,True,5,0.4736590135544301,7.016609515630989e-14
1677,0.72,0.18,selected,True,True,False,24.354941325976135,0.20295784438313447,379.2144964616597,5.329215076529745e-15,2.914412638976098e-14,True,5,0.10209062370854305,2.5435209494162336e-13
1678,0.74,0.18,baseline,True,True,False,37.256626891420375,0.31047189076183646,879.2029879086002,4.1026177199414776e-15,6.267641833260328e-14,True,5,0.3907673223794328,1.7763568394002505e-13
1678,0.74,0.18,selected,True,True,False,37.25662689141952,0.31047189076182935,879.202987908517,7.509935091891957e-15,4.3814791338407994e-14,True,5,0.05073160462452542,7.807088309164101e-13
1679,0.76,0.18,baseline,True,True,False,94.80422706612465,0.7900352255510388,4178.670517952689,6.0463850833647924e-15,2.2261673739157865e-14,True,5,0.3108715534178934,3.1415926535897976
1679,0.76,0.18,selected,True,True,False,15.546501918846118,0.129554182657051,2538.786130052166,1.773206064081947e-14,1.3442850591137943e-13,True,3,1.4988232945575375,7.466249840604178e-14
1680,0.78,0.18,baseline,True,True,False,101.27675983335936,0.843972998611328,4863.410864141865,2.1839317305161376e-14,9.34491685902517e-14,True,3,1.6234331694257762,3.1415926535899734
1680,0.78,0.18,selected,True,True,True,2.4810405945879843,0.020675338288233203,160.66764266235793,3.6933609328561016e-14,7.08667201275245e-14,True,2,0.6845984722791902,2.319255898441952e-13
1709,0.64,0.2,baseline,True,True,False,13.741187448768972,0.1145098954064081,587.5757026858328,8.822606453444159e-15,4.5711391131478195e-14,True,5,0.8652192769352745,6.128431095930864e-14
1709,0.64,0.2,selected,True,True,False,11.689292990640894,0.09741077492200745,420.97526775292914,4.164168926362728e-15,3.124324572428282e-14,True,5,0.06420416668537143,4.440892098500626e-14
1710,0.66,0.2,baseline,True,True,False,17.673844247481263,0.1472820353956772,878.6371577692876,4.4312539242289536e-15,2.3577728631759705e-14,True,5,0.7926035640337838,7.993605777301127e-14
1710,0.66,0.2,selected,True,True,False,13.02847503117981,0.10857062525983174,504.1921145326363,2.520719752872653e-15,1.490535514295125e-14,True,5,0.7350000884607999,2.4580337765200966e-13
1711,0.68,0.2,baseline,True,True,False,19.13475455710678,0.15945628797588984,903.5070455078145,5.2619330338278404e-15,2.7146316563148754e-14,True,5,0.7132941012495095,4.085620730620576e-14
1711,0.68,0.2,selected,True,True,False,14.927049012240587,0.1243920751020049,512.0677793401054,3.2823241931445768e-15,1.388315643102237e-14,True,5,1.1068888978613696,3.4283687000424834e-13
1712,0.7000000000000001,0.2,baseline,True,True,False,18.821875672038228,0.15684896393365189,691.5374077262935,5.8866035989688405e-15,2.9237798053134334e-14,True,5,0.6292516000314521,5.260236690673992e-13
1712,0.7000000000000001,0.2,selected,True,True,False,17.817516876665724,0.1484793073055477,475.3891686100104,2.594812341110196e-15,1.3864653639031435e-14,True,5,0.7594084041148292,8.029132914089132e-13
1713,0.72,0.2,baseline,True,True,False,19.22160187152592,0.16018001559604933,540.5059588073802,6.881815727296095e-15,3.187305488755042e-14,True,5,0.5427060257720235,1.0391687510491465e-13
