scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,optimizer_success
1412,0.46,0.04,selected,True,True,True,8.773411045095774,0.07311175870913145,200.57269754180496,1.2792602559660762e-12,5.011883211195253e-11,True,3,0.26593664505255976,True
1413,0.48,0.04,baseline,True,True,False,13.22288589321413,0.11019071577678441,322.27680825784574,5.624670137768868e-15,5.198106974538838e-14,True,3,0.33073863118988056,
1413,0.48,0.04,local,True,True,False,13.22288589321413,0.11019071577678441,322.27680825784574,5.624670137768868e-15,5.198106974538838e-14,True,3,0.33073863118988056,
1413,0.48,0.04,multistart,True,False,False,1.8625490118220256,0.015521241765183547,117.78253593303418,3.960037450483924e-15,1.7977793749802886e-14,True,1,0.3307386311898801,
1413,0.48,0.04,graph,True,False,False,1.8625490118222388,0.015521241765185323,116.64140831140983,1.5833720052255777e-14,3.317481656221194e-14,True,1,0.33073863118988145,
1413,0.48,0.04,best,True,False,False,1.8625490118220256,0.015521241765183547,117.78253593303418,3.960037450483924e-15,1.7977793749802886e-14,True,1,0.3307386311898801,
1413,0.48,0.04,screened_graph,True,True,True,9.31043614773646,0.07758696789780384,209.35592577850528,5.797345156751253e-15,6.422781644846393e-14,True,3,0.17472053862482007,
1413,0.48,0.04,screened_best,True,True,True,9.310436147736167,0.0775869678978014,209.3559257784733,9.764766921113541e-15,5.855509692775318e-14,True,3,0.3307386311898797,
1413,0.48,0.04,bounded_attempt,True,True,True,9.31043615243718,0.0775869679369765,209.35592586302008,9.757006193754753e-13,3.813290853273747e-11,True,3,0.33073863118988145,True
1413,0.48,0.04,selected,True,True,True,9.310436147736167,0.0775869678978014,209.3559257784733,9.764766921113541e-15,5.855509692775318e-14,True,3,0.3307386311898797,
1414,0.5,0.04,baseline,True,True,False,13.895073133545202,0.11579227611287668,347.3521509591691,4.5278662089609864e-15,4.419976955837821e-14,True,3,0.3971858490873834,
1414,0.5,0.04,local,True,True,False,13.895073133545202,0.11579227611287668,347.3521509591691,4.5278662089609864e-15,4.419976955837821e-14,True,3,0.3971858490873834,
1414,0.5,0.04,multistart,True,False,False,1.7624654765715864,0.01468721230476322,116.25179760428921,7.786032639700568e-15,3.765680696219947e-14,True,4,0.3971858490873914,
1414,0.5,0.04,graph,True,False,False,1.7624654765717196,0.01468721230476433,116.2517976042956,1.6193887362514392e-14,5.129895897547362e-14,True,4,0.3971858490874074,
1414,0.5,0.04,best,True,False,False,1.7624654765715864,0.01468721230476322,116.25179760428921,7.786032639700568e-15,3.765680696219947e-14,True,4,0.3971858490873914,
1414,0.5,0.04,screened_graph,True,True,True,9.551250753285103,0.07959375627737586,210.19346703366318,8.911928074867583e-15,6.104330012150236e-14,True,3,0.39718584908740695,
1414,0.5,0.04,screened_best,True,True,True,9.551250753284757,0.07959375627737297,210.19346703367745,5.5132077519858476e-15,6.27238734278297e-14,True,3,0.39718584908738075,
1414,0.5,0.04,bounded_attempt,True,True,True,9.551250760428722,0.07959375633690602,210.19342974104447,3.636148695886223e-12,1.5423677860063504e-10,True,3,0.3971858490874074,True
1414,0.5,0.04,selected,True,True,True,9.551250753284757,0.07959375627737297,210.19346703367745,5.5132077519858476e-15,6.27238734278297e-14,True,3,0.39718584908738075,
1415,0.52,0.04,baseline,True,True,False,13.876092147128052,0.1156341012260671,353.5423530619561,4.663452961595636e-15,4.0579325499948277e-14,True,3,0.4653033249753262,
1415,0.52,0.04,local,True,True,False,13.876092147128052,0.1156341012260671,353.5423530619561,4.663452961595636e-15,4.0579325499948277e-14,True,3,0.4653033249753262,
1415,0.52,0.04,multistart,True,False,False,1.7163403514595998,0.014302836262163332,116.12099546419401,1.8110640700590184e-14,5.807651954721966e-14,True,4,0.46530332497533955,
1415,0.52,0.04,graph,True,False,False,1.7163403514595998,0.014302836262163332,116.12099546419401,1.8110640700590184e-14,5.807651954721966e-14,True,4,0.46530332497533955,
1415,0.52,0.04,best,True,False,False,1.7163403514595998,0.014302836262163332,116.12099546419401,1.8110640700590184e-14,5.807651954721966e-14,True,4,0.46530332497533955,
1415,0.52,0.04,screened_graph,True,True,True,9.556500202045584,0.0796375016837132,204.46179950688403,6.356273005590937e-15,3.448195759210199e-14,True,3,0.4653033249753138,
1415,0.52,0.04,screened_best,True,True,True,9.55650020204553,0.07963750168371275,204.46179950669858,3.306475778008542e-15,3.268604273018245e-14,True,3,0.4653033249753227,
