acceleration_limit_ok,coarse_collision_edges,coarse_collision_frames,constraint_failure_frames,constraints_met,evaluated_poses,first_constraint_failure_frame,first_unaccepted_frame,full_path_evaluated,index,initial_q,joint_limit_ok,max_evaluated_acceleration_rad_s2,max_evaluated_orientation_error_deg,max_evaluated_position_error_mm,max_evaluated_speed_rad_s,max_evaluated_step_rad,min_evaluated_axis_separation_deg,mode,optimizer_all_accepted,reset_branch,reset_geometric_count,solver_s,solver_status_counts,status,unaccepted_frames,velocity_limit_ok,x_m,y_m
,,,,False,0,,,False,28,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,0.7000000000000001,-0.4
,,,,False,0,,,False,29,,,,,,,,,strict,False,,0,,,reset_unsolved,,,0.8,-0.4
,,,,False,0,,,False,29,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,0.8,-0.4
,,,,False,0,,,False,30,,,,,,,,,strict,False,,0,,,reset_unsolved,,,0.9,-0.4
,,,,False,0,,,False,30,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,0.9,-0.4
,,,,False,0,,,False,31,,,,,,,,,strict,False,,0,,,reset_unsolved,,,1.0,-0.4
,,,,False,0,,,False,31,,,,,,,,,relaxed,False,,0,,,reset_unsolved,,,1.0,-0.4
True,[],[],[],True,149,-1,125,True,32,"[-1.3915303283890872, 0.47537558850204487, 1.6671517028460565, 1.1645373515247968, 1.5396789777267386, -2.4686648283143042]",True,61.60918351799154,0.05723848381540619,0.09990000047003966,1.3336797201567197,0.011113997667972664,79.61007216147691,strict,False,"[0, 0, 0]",8,0.7572583819983265,"{'0': 147, '8': 1}",optimizer_failure,[125],True,0.30000000000000004,-0.30000000000000004
True,[],[],[],True,149,-1,-1,True,32,"[-1.3915303283890872, 0.47537558850204487, 1.6671517028460565, 1.1645373515247968, 1.5396789777267386, -2.4686648283143042]",True,82.13727447954682,2.8619241873088717,4.995000002286204,1.30376664651209,0.010864722054267417,78.80505516912012,relaxed,True,"[0, 0, 0]",8,0.29377662599654286,{'0': 148},pass,[],True,0.30000000000000004,-0.30000000000000004
True,[],[],[],True,149,-1,33,True,33,"[-1.1702052969930636, 0.5568146665306959, 1.5464769020947922, 1.269411893177217, 1.3763875953868494, -2.3662334329103567]",True,58.82248855197414,0.05723848376092814,0.0999000011961939,1.326948062602371,0.011057900521686426,71.34153180555428,strict,False,"[0, 0, 0]",8,0.8325450029860804,"{'0': 147, '8': 1}",optimizer_failure,[33],True,0.4,-0.30000000000000004
True,[],[],[],True,149,-1,-1,True,33,"[-1.1702052969930636, 0.5568146665306959, 1.5464769020947922, 1.269411893177217, 1.3763875953868494, -2.3662334329103567]",True,60.28648374328789,2.8619241879888087,4.995000002240435,1.2823355953163884,0.010686129960969903,70.36395256534519,relaxed,True,"[0, 0, 0]",8,0.307156587998179,{'0': 148},pass,[],True,0.4,-0.30000000000000004
True,[],[],[],True,149,-1,78,True,34,"[-0.9829189801821034, 0.7013530312435899, 1.3217467774451226, 1.325390605698551, 1.2388837969171564, -2.2404741453899266]",True,63.20463066224562,0.057238483814651415,0.09990000261020933,1.4329074122425745,0.011940895102021454,59.916177851699004,strict,False,"[0, 0, 0]",8,0.9513077740193694,"{'0': 147, '8': 1}",optimizer_failure,[78],True,0.5,-0.30000000000000004
