scan_index,x_m,y_m,condition,yaw_deg,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad
1488,0.54,0.08,after,55.0,True,True,True,1.5928553757222907,0.013273794797685756,85.31805333614848,1.9528271513068344e-15,1.142950204566467e-14,True,1,1.322840174583819
1489,0.56,0.08,before,0.0,True,True,False,61.24685229477905,0.5103904357898255,2238.1552489152896,1.1171619185290638e-14,4.941431054412193e-13,True,3,0.008541707814273991
1489,0.56,0.08,after,45.0,True,True,True,1.6265985126684601,0.013554987605570501,80.14305226229794,2.522247369371196e-15,1.339982160654386e-14,True,1,0.20322309353596868
1490,0.58,0.08,before,0.0,True,True,False,50.78419835952651,0.4232016529960543,1871.3375770719936,7.993921996680101e-15,8.400591858127379e-14,True,3,0.6592949377950912
1490,0.58,0.08,after,40.0,True,True,True,1.6520797068691229,0.013767330890576024,78.29580217264206,2.584847415819394e-15,2.5191178166563582e-14,True,1,1.020165849798543
1492,0.62,0.08,before,0.0,True,True,False,37.766938306617426,0.31472448588847857,936.7599271906555,5.437419273448735e-15,1.1232515002995873e-13,True,3,0.1526418166064225
1492,0.62,0.08,after,40.0,True,True,True,1.7540805637969736,0.014617338031641447,83.26893023844022,1.5317639333195873e-14,1.03904034392508e-13,True,3,1.3852960142473552
1493,0.64,0.08,before,0.0,True,True,False,31.431790655546816,0.26193158879622347,982.8638013431644,9.161736712012632e-15,1.0528328191779833e-13,True,3,0.8960772267236077
1493,0.64,0.08,after,35.0,True,True,True,1.9230564466403433,0.016025470388669527,80.05811206687987,1.5907795266118738e-14,1.0247767475357639e-13,True,3,1.3835727961200266
1494,0.66,0.08,before,0.0,True,True,False,25.879915095226284,0.2156659591268857,886.5213665480537,9.682241248854282e-15,5.552934376470017e-14,True,3,0.7332022234355007
1494,0.66,0.08,after,35.0,True,True,True,2.009366009260365,0.016744716743836374,85.58811897935072,2.235583688436544e-14,1.4782198751510926e-13,True,3,1.4887047047162865
1495,0.68,0.08,before,0.0,True,True,False,21.716038626479516,0.18096698855399596,706.9487901305721,5.856542581561998e-15,6.594365409171501e-14,True,3,0.0670144248707798
1495,0.68,0.08,after,30.0,True,True,True,2.047565516283889,0.01706304596903241,103.42549345163725,5.043291961660561e-15,2.750741383349045e-14,True,3,1.4940566314441002
1496,0.7000000000000001,0.08,before,0.0,True,True,False,20.315505019173383,0.16929587515977818,531.1586461236668,5.749094492339172e-15,4.932203712472908e-14,True,3,0.8649290945497281
1496,0.7000000000000001,0.08,after,25.0,True,True,True,2.0754430985096484,0.01729535915424707,112.89741918383065,7.905224527834553e-15,4.1135270675649617e-14,True,3,1.5080537748099332
1497,0.72,0.08,before,0.0,True,True,False,16.971750946233346,0.14143125788527788,392.4752499608481,3.646697385477445e-15,2.1179949398841713e-14,True,3,1.2574654062085302
1497,0.72,0.08,after,-45.0,True,True,True,5.415935288467351,0.045132794070561255,228.4103580632582,9.65432325114524e-15,4.7015839619838346e-14,True,5,0.5993327198115264
1498,0.74,0.08,before,0.0,True,True,False,14.861983410970465,0.12384986175808721,340.98601666385235,1.614549998699293e-14,8.3278882395792e-14,True,3,1.3608461357917867
1498,0.74,0.08,after,-40.0,True,True,True,6.781125622321618,0.05650938018601348,267.8798519311272,1.416084598978991e-14,7.960377989475875e-14,True,5,1.000992470363177
1499,0.76,0.08,before,0.0,True,True,False,12.7639375058566,0.10636614588213833,264.76399773760807,3.2124605855954973e-15,8.337613458851338e-14,True,3,0.2197131462845352
1499,0.76,0.08,after,-35.0,True,True,True,9.059446311567445,0.07549538592972871,325.3656660757962,1.9058725291668886e-14,9.087840603823943e-14,True,5,0.36468571539282113
1500,0.78,0.08,before,0.0,True,True,True,2.2354096655571443,0.01862841387964287,157.7219140575002,1.8619047524877797e-14,6.748603761574365e-14,True,3,1.5374825262980316
1500,0.78,0.08,after,0.0,True,True,True,2.2354096655571443,0.01862841387964287,157.7219140575002,1.8619047524877797e-14,6.748603761574365e-14,True,3,1.5374825262980316
1517,0.4,0.1,before,0.0,True,True,False,85.0203136934503,0.7085026141120858,3893.5843448766027,1.5361605118459565e-14,1.3899277525153582e-13,True,3,0.030675468116634796
1517,0.4,0.1,after,80.0,True,True,True,1.656164762118859,0.01380137301765716,80.76248215275044,1.2369150123679558e-15,5.385153918933537e-15,True,4,1.1428400277966
1518,0.42,0.1,before,0.0,True,True,False,58.74410246651222,0.4895341872209351,2236.2421855818016,1.0525808038959492e-14,1.0162823488248167e-13,True,5,0.043999660072869595
1518,0.42,0.1,after,80.0,True,True,True,1.614292671912354,0.01345243893260295,81.93273318189239,4.1284960951691644e-16,9.222205069512405e-16,True,4,1.2379573927918441
1519,0.44,0.1,before,0.0,True,True,False,42.85219809994088,0.3571016508328406,1165.0133576597782,4.8200895521889406e-15,3.311317018448182e-14,True,5,0.16205931682497754
1519,0.44,0.1,after,80.0,True,True,True,1.5663065752429262,0.013052554793691051,84.30341192921347,5.592593521511171e-16,2.2948339460476123e-15,True,4,1.3391044615104315
1520,0.46,0.1,before,0.0,True,True,False,33.559637103266944,0.27966364252722453,818.8870869487936,6.885428443116208e-15,4.995426890390409e-14,True,5,0.22910176038057095
1520,0.46,0.1,after,75.0,True,True,True,1.5135925795438077,0.012613271496198397,85.10278008241823,7.771561172376096e-16,2.8726685547954236e-15,True,4,1.348617565235643
