episode,physics_step,command_id,reference_frame,time_s,region,interpolation_step,A_ik_position_m,A_ik_rotation_rad,B_command_position_m,B_command_rotation_rad,C_tracking_position_m,C_tracking_rotation_rad,total_position_m,total_rotation_rad,FK_runtime_consistency_position_m,FK_runtime_consistency_rotation_rad
0,15,3,3,0.125,work,3,6.938893903907228e-17,0.0,0.0020510362260095396,0.007051326642440942,0.016082080217809835,0.03989222800682034,0.017495239785484288,0.045833844570102554,8.323033457740511e-08,3.7223088731756253e-07
0,16,3,3,0.13333333333333333,work,4,6.938893903907228e-17,0.0,4.379776229856708e-08,1.1151007970493858e-07,0.016688409775673003,0.044369849178036616,0.016688447323832338,0.04436989269542917,2.808095049750557e-07,5.900558791525186e-07
0,17,4,4,0.14166666666666666,work,1,7.850462293418876e-17,0.0,0.006052755963107072,0.024915837406540797,0.016819475523871297,0.04975161989670127,0.021564913895479123,0.07230916587272469,7.99983064916698e-08,4.655271575395269e-07
0,18,4,4,0.15,work,2,7.850462293418876e-17,0.0,0.00403801539832083,0.01658306169818098,0.016556623959391482,0.05661931922256466,0.019736024399551726,0.07189341873720587,1.852986013074545e-07,8.754987014274895e-07
0,19,4,4,0.15833333333333333,work,3,7.850462293418876e-17,0.0,0.0020204561694368785,0.00827778823951299,0.016335143279691388,0.0634263136024501,0.01791822581453589,0.07112721081833964,1.5431235371498127e-07,4.064494877155387e-07
0,20,4,4,0.16666666666666666,work,4,7.850462293418876e-17,0.0,1.8336293957626387e-08,1.032382731180714e-07,0.016153791231109823,0.07014065954534619,0.016153805651506693,0.07014057947758472,1.808787245364034e-07,7.001960351747746e-07
0,21,5,5,0.175,work,1,2.0026854743534788e-16,0.0,0.0058164477113418185,0.02899056407495996,0.015926258598827178,0.07748882558318916,0.020820322814139612,0.10455632609994137,1.857976087183216e-07,4.951133646320162e-07
0,22,5,5,0.18333333333333332,work,2,2.0026854743534788e-16,0.0,0.003881048581281176,0.01931470505470651,0.015560337893132789,0.08524206863161636,0.01881696723839933,0.10343489475448973,2.603060429903888e-07,7.480323551899913e-07
0,23,5,5,0.19166666666666665,work,3,2.0026854743534788e-16,0.0,0.0019422341772600232,0.009651104325328218,0.01525416990089975,0.09308182690305448,0.016870535976259177,0.1022407802786031,4.278268403860305e-07,8.01344493612578e-07
0,24,5,5,0.2,work,4,2.0026854743534788e-16,0.0,4.1493794083265186e-08,9.424321830774486e-08,0.014997316256486492,0.10041531618775305,0.014997280452472854,0.10041533884487108,1.9076366465980709e-07,4.2146848510894113e-07
0,25,6,6,0.20833333333333334,work,1,6.938893903907228e-18,0.0,0.005617781288819062,0.03071897474711572,0.01457265741560551,0.10676189725891831,0.019422104364379567,0.134832024884599,2.1161184093269114e-07,2.8894423588611685e-07
0,26,6,6,0.21666666666666667,work,2,6.938893903907228e-18,0.0,0.003747797061970092,0.02047848391642561,0.013947541338017132,0.11363450539754796,0.017221127844195428,0.13248826665778504,1.3650788414765555e-07,1.8848643661548977e-07
