time_s,reference_frame,present_position_m,present_rotation_rad,absent_position_m,absent_rotation_rad,source_position_m,source_rotation_rad,paired_actual_difference_position_m,paired_actual_difference_rotation_rad,reproduction_difference_position_m,reproduction_difference_rotation_rad
4.916666666666666408e-01,1.500000000000000000e+01,1.293900914569638509e-02,1.279878780733796906e-01,1.267167672736467694e-02,2.081533631359488989e-01,1.293900914569638509e-02,1.279878780733796906e-01,1.064278045514212984e-02,8.447437963569216779e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.500000000000000000e+01,1.324226740873916779e-02,1.284938903277631217e-01,1.479995541867831256e-02,2.078572013381785322e-01,1.324226740873916779e-02,1.284938903277631217e-01,1.083632372737309765e-02,8.502954965236723950e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.083333333333333037e-01,1.600000000000000000e+01,1.535974895039808608e-02,1.273486799416450599e-01,2.004370078896276428e-02,2.051038256040283170e-01,1.535974895039808608e-02,1.273486799416450599e-01,1.132076022188240917e-02,8.517519168285829501e-02,0.000000000000000000e+00,4.214684851089403467e-08
5.166666666666666075e-01,1.600000000000000000e+01,1.875204768444218087e-02,1.291842692453538943e-01,2.547310661262620901e-02,2.038278590163400406e-01,1.875204768444218087e-02,1.291842692453538943e-01,1.179051254869640207e-02,8.392058903222444910e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,1.600000000000000000e+01,2.244838286220553897e-02,1.316320397068161674e-01,3.063111170087221696e-02,2.039572834459497663e-01,2.244838286220553897e-02,1.316320397068161674e-01,1.225839174368176243e-02,8.342203270395794068e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.333333333333333259e-01,1.600000000000000000e+01,2.620999220210298158e-02,1.368890600480487663e-01,3.503658557466009238e-02,2.050878269344544036e-01,2.620999220210298158e-02,1.368890600480487663e-01,1.211835369614225333e-02,8.167304312892172125e-02,0.000000000000000000e+00,4.214684851089403467e-08
5.416666666666666297e-01,1.700000000000000000e+01,3.142864202840166959e-02,1.354449218500139718e-01,4.053440958398868421e-02,1.970711572181585991e-01,3.142864202840166959e-02,1.354449218500139718e-01,1.164390725974783804e-02,7.847493782799175310e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,1.700000000000000000e+01,3.630106493643917714e-02,1.358763059996632439e-01,4.516508260212317299e-02,1.904812605123814562e-01,3.630106493643917714e-02,1.358763059996632439e-01,1.089097813224339240e-02,7.526340965065340949e-02,0.000000000000000000e+00,2.980232238769531250e-08
5.583333333333333481e-01,1.700000000000000000e+01,4.053070490428646588e-02,1.371385923537872809e-01,4.875520733714803351e-02,1.842264610279784054e-01,4.053070490428646588e-02,1.371385923537872809e-01,9.851027856859853951e-03,7.194295585348740862e-02,0.000000000000000000e+00,2.980232238769531250e-08
5.666666666666666519e-01,1.700000000000000000e+01,4.396571800411797765e-02,1.383644611889539855e-01,5.123370662287227151e-02,1.776200375043613389e-01,4.396571800411797765e-02,1.383644611889539855e-01,8.550142835626573304e-03,6.820294699755435897e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.749999999999999556e-01,1.800000000000000000e+01,4.460155266667004820e-02,1.318314807168877167e-01,5.078149170142578356e-02,1.655357612081092833e-01,4.460155266667004820e-02,1.318314807168877167e-01,7.073084056843493769e-03,6.430717277411240884e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.833333333333333703e-01,1.800000000000000000e+01,4.452086544452838607e-02,1.238018883842551543e-01,4.951392612426501472e-02,1.525385904624825539e-01,4.452086544452838607e-02,1.238018883842551543e-01,5.592460236923359890e-03,6.084830689692640598e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.916666666666666741e-01,1.800000000000000000e+01,4.375928959592645384e-02,1.144109666091145255e-01,4.757194172827026307e-02,1.388046598607467208e-01,4.375928959592645384e-02,1.144109666091145255e-01,4.200866896836953808e-03,5.775907479006962136e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.800000000000000000e+01,4.239868486559889016e-02,1.039207504250220931e-01,4.511482787771595865e-02,1.247064707261000410e-01,4.239868486559889016e-02,1.039207504250220931e-01,2.958358394697641232e-03,5.501248715649664084e-02,0.000000000000000000e+00,0.000000000000000000e+00
